osmid,highway,lanes,name,ref,oneway,reversed,length,geometry,speed_kph,service,maxspeed,access,width,bridge,junction,tunnel
28488391,unclassified,2,Bangkal Road,,False,True,6.10911065204689,"LINESTRING (121.2429766 14.1782103, 121.2429613 14.1782632)",40.0,,40,,,,,
1330418541,footway,,,,False,True,22.276405784013004,"LINESTRING (121.2429766 14.1782103, 121.2427743 14.1782511)",30.0,,,,,,,
28488391,unclassified,2,Bangkal Road,,False,False,85.18954592892504,"LINESTRING (121.2429766 14.1782103, 121.2430579 14.1779285, 121.24308 14.1778579, 121.2431652 14.1776268, 121.2432232 14.1774831)",40.0,,40,,,,,
1330418541,footway,,,,False,False,37.11733142506751,"LINESTRING (121.2429766 14.1782103, 121.2430444 14.1781966, 121.2433131 14.1781397)",30.0,,,,,,,
1175510098,footway,,,,False,True,5.342834302103306,"LINESTRING (121.2433131 14.1781397, 121.2433234 14.1781867)",30.0,,,,,,,
1330418541,footway,,,,False,False,22.377804995498156,"LINESTRING (121.2433131 14.1781397, 121.2435159 14.1780968)",30.0,,,,,,,
"[1175510097, 1175510098]",footway,,,,False,False,14.507228037671958,"LINESTRING (121.2433131 14.1781397, 121.2433072 14.1781127, 121.2432971 14.1780103)",30.0,,,private,,,,
1330418541,footway,,,,False,True,37.11733142506751,"LINESTRING (121.2433131 14.1781397, 121.2430444 14.1781966, 121.2429766 14.1782103)",30.0,,,,,,,
1175510095,footway,,,,False,True,5.52187608992973,"LINESTRING (121.2435159 14.1780968, 121.24352 14.1781463)",30.0,,,,,,,
1330418541,footway,,,,False,True,22.377804995498156,"LINESTRING (121.2435159 14.1780968, 121.2433131 14.1781397)",30.0,,,,,,,
1175510095,footway,,,,False,False,16.069644124219124,"LINESTRING (121.2435159 14.1780968, 121.243513 14.1780621, 121.2435033 14.1779528)",30.0,,,,,,,
1330418541,footway,,,,False,False,26.847951170746573,"LINESTRING (121.2435159 14.1780968, 121.2435661 14.1780861, 121.2437586 14.1780427)",30.0,,,,,,,
