bldg_id,name,x_coord,y_coord,category
226,King Chan Hardware & Construction Supply,72.5486821972235,67.87985101762185,commercial
227,Department of Human Kinetics,64.96819631316095,34.21500895925445,school
228,Department of Humanities,62.69519774406215,49.08147187253199,school
229,Department of Social Sciences,62.717366533800444,48.55718361717903,school
230,Institute of Biological Sciences,61.30042430753545,50.020309823076914,school
231,Institute of Chemistry,64.04950926360293,46.27544051023541,school
232,Institute of Computer Science,63.90052879540234,47.172020925670054,school
233,Institute of Physics,63.598072090430016,46.932889137847326,school
234,Institute of Statistics,64.13430876008745,47.27979401908506,school
235,Angelica's Laundry Shop,68.3544401915457,53.13295399824985,commercial
236,Klik SIlog,67.80068552719165,53.61514850739313,commercial
237,Cel's Fastfood,67.95803742649808,53.19896092324472,commercial
238,Miked Internet,67.15701549178958,53.85935775098291,commercial
239,Dalcielo,66.8540937073175,51.03219762112974,commercial
240,Paponei's Beads & Crafts,67.11856891936138,53.828893016368994,commercial
241,"But First, Coffee",67.06353451121404,54.086369160516824,commercial
242,Rand Computer Shop,67.59791086285041,49.33665497213845,commercial
243,BPI,62.968819519696794,70.33717582082947,commercial
244,Unnamed,63.334216984400506,69.79536215362819,commercial
245,Jonas Bakery,74.35257057193816,67.66676166422508,commercial
246,TGP,61.914174228085706,70.13194833443124,commercial
247,Unnamed,63.43575934305268,46.890631602739965,miscellaneous
248,Unnamed,62.70977023522356,46.98743084013828,miscellaneous
249,Unnamed,62.78108242603878,47.0192058859191,miscellaneous
250,Unnamed,62.8106924878834,47.061627209921234,miscellaneous
251,Unnamed,62.802321056777544,47.08930753330656,miscellaneous
252,Unnamed,62.790228989651574,47.10699673404965,miscellaneous
253,Unnamed,62.690236895991255,47.14990942474192,miscellaneous
254,Unnamed,62.647294555013964,47.167107258797785,miscellaneous
255,Unnamed,62.67504429881547,47.18545161512287,miscellaneous
256,Unnamed,62.70604959918141,47.186270559602555,miscellaneous
257,Unnamed,62.629621533802734,47.21018373838483,miscellaneous
258,Unnamed,62.68651625994911,47.235898595018334,miscellaneous
259,Unnamed,62.607297717549834,47.269311529755605,miscellaneous
260,Unnamed,62.657681330633466,47.300922786638736,miscellaneous
261,Unnamed,62.614738989634134,47.313370742717105,miscellaneous
262,Unnamed,62.622490314725624,47.37823114544274,miscellaneous
263,Unnamed,62.66791307973837,47.40689420219961,miscellaneous
264,Unnamed,62.58512892778951,47.40820451336651,miscellaneous
265,Unnamed,62.715661242293976,47.43326421442092,miscellaneous
266,Unnamed,62.60605750552111,47.43916061466765,miscellaneous
267,Unnamed,62.65163529704844,47.46553062688606,miscellaneous
268,Unnamed,62.53893103026983,47.47372007167415,miscellaneous
269,Unnamed,62.699383459604064,47.48813349450142,miscellaneous
270,Unnamed,62.49552360977074,47.50205555064147,miscellaneous
271,Unnamed,62.55334849491664,47.52056369586424,miscellaneous
272,Unnamed,62.47506011151689,47.54889917483156,miscellaneous
273,Unnamed,62.52807917512854,47.57477782036275,miscellaneous
274,Unnamed,62.45459661328506,47.60933727736925,miscellaneous
275,Unnamed,62.50280985534044,47.62538858915588,miscellaneous
276,Unnamed,62.453046348271165,47.67190463555352,miscellaneous
277,Unnamed,64.31351939614704,51.3280003668871,miscellaneous
278,Unnamed,62.35196906911876,47.933966868781155,miscellaneous
279,Unnamed,62.19523727580465,45.914122206170404,miscellaneous
280,Unnamed,62.47273471399605,47.6239144890942,miscellaneous
281,Unnamed,62.359720394210235,47.78197077350988,miscellaneous
282,Unnamed,62.418630464870276,47.8096510968952,miscellaneous
283,Desmark Motorcycle Sales & Services,77.54239587257389,67.41419918695243,commercial
284,UPLB Digital Innovation Center,66.08516225848906,50.8195996344231,miscellaneous
285,Unnamed,65.70984309768764,52.10550625509761,miscellaneous
286,Unnamed,65.50427795632582,52.23522706054599,miscellaneous
287,Unnamed,65.33824457290632,52.33169872015475,miscellaneous
288,Unnamed,65.20244135734583,52.41621379036948,miscellaneous
289,Unnamed,65.04694977606046,52.513995761142255,miscellaneous
290,Unnamed,64.90106983788763,52.61423456535408,miscellaneous
291,Unnamed,64.78573012055897,52.70284435796431,miscellaneous
292,Mhel's Proven,62.58791940483215,54.29159664691505,commercial
293,Uncle John's,64.74883381314466,69.04799342223913,commercial
294,College of Economics and Management Lecture Hall,63.493119148720844,51.50554752990002,school
295,"Animal Biology Division, Institute of Biological Sciences",62.42033575639877,48.9112952098304,school
296,Chowking,66.80495030626261,52.403765834291114,commercial
297,Metrobank,59.74054764661082,71.56051508331971,commercial
298,Towners Asian Mart,64.68232744388573,69.91296258078773,commercial
299,Royal Star,62.634427355359016,70.3117885419826,commercial
300,Unnamed,100.18649688162928,65.48460220590836,miscellaneous
301,BPI,66.06035801820072,57.548211261468865,commercial
302,PSBank,95.79490613920292,66.33810614175597,commercial
303,BPI,95.77816327701326,66.66175299979342,commercial
304,Signeffex,65.83882514715617,58.52701370257978,commercial
305,Ian's Store,65.69123991745485,60.19323813922639,commercial
306,Unnamed,62.741240615089254,51.51668517481147,transport
307,KW&E,67.29622929040707,55.28186431072697,commercial
308,Moonleaf,62.145783821742576,56.435593292516984,commercial
309,Unnamed,62.382044210463135,51.437411349261474,miscellaneous
310,Unnamed,63.51125724943183,47.76673840620293,miscellaneous
311,Unnamed,63.61496997911227,47.96803495910334,miscellaneous
312,Unnamed,63.69000280596963,48.09447998663588,miscellaneous
313,Unnamed,63.29949104799242,48.10365216479843,miscellaneous
314,Unnamed,63.74519224060954,48.18947754618007,miscellaneous
315,Unnamed,63.43730960806657,48.18783965722361,miscellaneous
316,Unnamed,63.55761017346613,48.24139862614011,miscellaneous
317,Unnamed,63.80689278831218,48.28218206118579,miscellaneous
318,Unnamed,63.65465676356921,48.29119045045357,miscellaneous
319,Unnamed,63.74519224060954,48.331810096604485,miscellaneous
320,Jollibee,59.671405826823865,70.9910210927331,commercial
321,Pizza Hut,59.32290625082444,71.03819229471566,commercial
322,Twinkle Pop,65.34351547396237,69.4414143498716,commercial
323,Purple Velvet Food House,62.83425651614301,54.469471387717505,commercial
324,MJ & TJ's Store,62.56869611860702,54.42295534131987,commercial
325,Phuong,66.68216931684964,55.486109063750746,commercial
326,Siomai Co.,66.98323078330064,55.859547746101654,commercial
327,Carmensita's,66.73797885748188,55.50576373124275,commercial
328,Tofi's Food Corner,62.6479146610063,54.162039630361456,commercial
329,Hanbok Store,66.92928156068947,54.08325717149578,commercial
330,Dhenzmer's,65.96718709063236,55.439593017353104,commercial
331,7-Eleven,57.09765584425922,70.82182716340597,commercial
332,Jilby's Chicharon,76.71718980359141,67.11790507450783,commercial
333,R Cycle,77.91352931783341,66.94625431174165,commercial
334,Santiago Muffler Center,78.92988306350887,67.04452764920457,commercial
335,Sheila's Buko Pie,78.8937618886015,67.34606300631388,commercial
336,SaveMore,67.15019432571965,56.9744587595949,commercial
337,Makiling Forest Reserve Monitoring Station,32.203035108850514,43.23666512705005,special
338,Coffee Blends,66.70991906067319,56.39579259084576,commercial
339,La Ville Canteen,68.03276020034826,48.8231767839074,commercial
340,Pro-Cure Pharmacy,37.0745879008023,73.89319653684892,commercial
341,Tres Paquito's Lutong Bahay,36.66950365164164,74.97436703781243,commercial
342,Aileen's Laundry Shop,45.083101956270745,74.72033046047521,commercial
343,Best Rock Marketing,57.38724534959863,70.75729433847279,commercial
344,Casio's Bibingka de Macapuno,44.97411832553427,74.7142702713337,commercial
345,Farah's Laundry Center,57.80163118884262,70.53798100703975,commercial
346,Bike Kings,57.46103796444928,70.73763967098078,commercial
347,Japan Surplus,57.96642436023337,70.49392179407825,commercial
348,Los Baños Duck Eggs,46.753977592467535,74.76029495104412,commercial
349,Moo & More,47.360131214440905,74.75112277288156,commercial
350,Net's Cassava,46.08534829028456,74.74784699496576,commercial
351,Unnamed,62.22732776168471,41.602870891766266,miscellaneous
352,Big Belly's,64.76976239087624,53.08414490731086,commercial
