source_node_id,target_node_id,road_length,road_type,name,one-way,max_speed,access,lanes
253508880,8887342520,18.78663961619128,residential,Lajarca,False,31.86,Uncategorized,
253508880,3730080060,78.15428658736873,residential,Lajarca,False,31.86,Uncategorized,
253508880,3730080063,99.3766654245625,residential,Unnamed,False,31.86,Uncategorized,
253509033,253510760,123.72987179559111,service,Unnamed,False,25.85,private,
253509033,1143684114,35.358077736199334,unclassified,Unnamed,True,40.0,destination,2
253509084,1127246044,42.779059611257786,residential,Unnamed,False,31.86,private,
253509084,8903410898,101.63236722706023,residential,Unnamed,False,31.86,private,
253509084,253501539,163.04260275064064,residential,Unnamed,False,31.86,private,
253509234,1115385655,26.09140268457,residential,Dinorado Street,False,40.0,Uncategorized,2
253509234,422732409,39.05254403571129,residential,Bangkal Road,False,40.0,Uncategorized,2
253509234,422735755,118.08760193685163,residential,Bangkal Extension,False,30.0,Uncategorized,1
253509234,8334145102,43.85576204247531,service,Unnamed,False,25.85,Uncategorized,
253509347,12186673188,4.564291938774882,residential,Oregano Street,False,40.0,Uncategorized,2
253509347,253779176,36.28683159920633,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253509347,439224014,26.731084451027286,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253509969,7729311822,3.0169897810731,service,Unnamed,False,25.85,private,
253509969,8292796623,1.7065297007145779,service,Unnamed,False,25.85,private,
253509969,7729311815,58.194262474977116,service,Unnamed,False,25.85,private,
253510495,253787306,38.45315395541536,residential,Mariano M. Mondoñedo Avenue,False,35.0,Uncategorized,2
253510495,638899098,39.58972547946686,residential,Mariano M. Mondoñedo Avenue,False,35.0,Uncategorized,2
253510495,638899293,81.48281355892286,service,Unnamed,False,25.85,Uncategorized,
253510760,253509033,123.72987179559111,service,Unnamed,False,25.85,private,
253510760,1285602724,155.90276187069,service,Unnamed,False,25.85,private,
253510760,1510886032,101.5022339437092,service,Unnamed,False,25.85,private,
253510794,291689961,18.003881057028387,tertiary,J. Aquino Street,False,33.15,Uncategorized,3
253510794,12309592248,4.909800411776587,footway,Unnamed,False,30.0,Uncategorized,
253510794,12309592247,5.226525279510677,footway,Unnamed,False,30.0,Uncategorized,
253510794,253496119,75.39327566669431,tertiary,J. Aquino Street,False,33.15,Uncategorized,2
253511252,12900324566,63.486641332875564,tertiary,Domingo M. Lantican Avenue,False,33.15,Uncategorized,2
253511252,12186657955,5.514226808796821,unclassified,Pedro R. Sandoval Avenue,False,30.0,Uncategorized,2
253511252,12254049903,36.886861626457275,tertiary,Domingo M. Lantican Avenue,False,33.15,Uncategorized,2
253511262,848318676,2.1802487213290687,steps,Unnamed,False,30.49,Uncategorized,
253511262,769875792,37.0903611675713,cycleway,Unnamed,False,30.49,Uncategorized,
253511262,382802668,7.788326086125531,footway,Unnamed,False,30.0,Uncategorized,
253763395,12254040061,16.833616831280736,tertiary,Jose B. Juliano Avenue,False,33.15,Uncategorized,2
253763395,12900324562,3.5785494090313623,tertiary,Domingo M. Lantican Avenue,False,33.15,Uncategorized,2
253763395,454086837,234.72792114375702,unclassified,Domingo M. Lantican Avenue,False,40.0,Uncategorized,2
253763439,253800534,40.67928713448502,residential,Unnamed,False,31.86,private,
253763439,1342899150,33.78080981148452,residential,Unnamed,False,31.86,private,
253763439,1342896234,86.94246197357836,residential,Unnamed,False,31.86,private,
253764332,10915508846,23.00756557918105,unclassified,Bangkal Extension,False,30.0,Uncategorized,
253764332,10915508845,30.33453699441308,footway,Unnamed,False,30.0,Uncategorized,
253764332,12309592272,42.856840113919404,unclassified,Bangkal Extension,False,30.0,Uncategorized,
253764883,1342895793,19.07968649259879,residential,Juan Luna Extension,False,31.86,Uncategorized,
253764883,12718893598,76.62482410482475,residential,Pantua Extension,False,31.86,Uncategorized,
253764883,1300391195,367.14947635132813,residential,Juan Luna Extension,False,31.86,Uncategorized,
253765458,1143683952,116.2342914597971,unclassified,Road 14 North,False,33.07,private,2
253765458,253782194,115.27142508037743,unclassified,Road 14 North,False,33.07,private,2
