node_id,x_coord,y_coord
432493370,67.18864089816988,49.68912867583336
432493371,66.85068312428253,49.59740689420208
432493375,66.20654800938071,51.71257669414947
432493491,66.43428194050286,51.550261898443516
432493501,66.84913285926865,50.80797062282441
432496220,64.3989389986239,51.11540238018046
432882667,65.8158812248889,51.56664078802261
432882741,65.94021247931576,51.78169560816539
432883320,66.05865272667222,51.69980116028157
434798140,54.85318215149092,55.59044259035516
434798786,58.45057212530072,59.77983496630947
434802888,57.69202745209178,59.09175781518597
434802891,57.284617805410285,58.76729201267173
434802894,56.818763167568534,58.46166193316692
434802898,56.36453551735299,58.19222919962797
434802903,55.93309676289011,57.9154259657806
434804482,63.516373123995294,64.09239659188053
434804892,62.255697611500594,63.654261295701666
434806694,65.02152542977979,68.85472252523203
434806709,64.93533069477392,69.64664183626982
434809834,61.712329722766036,51.534865742241784
434809837,60.205937204974845,50.86513294744628
434809839,59.61311586215617,50.61453593692256
435133797,59.07982469603393,51.924519525274114
435134781,59.298877143043036,49.490452745266765
435134990,61.51591114501701,48.395851554847525
435135615,60.44870870675816,45.29500018016804
435135617,60.21973456362931,45.87432150449918
435135692,64.62636287673887,50.237002532176135
435135891,60.623733627253806,45.37361885013604
435135892,60.411192293329485,45.95883657471681
435136059,60.11788215194793,45.569346580579264
435136065,60.360963706738424,45.25126854499899
435140265,62.25430237297929,61.08523246558122
435140266,61.630475729816716,62.11611977554406
435141522,60.181598044186266,60.91030592489922
435141551,59.724889969935276,61.6114861876831
435141635,60.04889535865355,61.83292877475982
435142166,59.87588578267156,62.309226883653466
435144302,54.808379492470515,57.45861873548418
435144304,53.711722018881645,56.73074088269235
435144406,52.21199564064578,56.999190882853945
435144407,52.64436455413022,57.340199363844945
435144408,53.259354686687175,57.76768838179959
435144583,53.782724156689675,55.74522309685502
435144592,52.96852496934107,58.217616478474824
435144593,52.60607300817256,58.71995702179442
435144594,52.33741208058677,59.12615348329769
435144702,51.27548054340599,57.07305967484736
435144840,51.331755163538006,57.83664350691782
435144841,51.91480983675153,58.26036538026942
435144924,50.70002216879137,58.665579108398234
435145218,54.60886038469371,57.81305790592509
435147345,58.02874501395039,58.54568563669733
435147348,57.63389251391666,58.218271634056826
435147374,57.172688671138616,57.868090974903275
435147379,56.72729753150665,57.57065034018945
435147408,56.36655086186665,57.14823877800477
435147817,59.953554060056945,59.96360610736158
435147994,65.89075902525369,62.27614152670865
435148303,59.20834166600271,65.54569546403096
435148890,57.75713858285143,48.52917571600416
436196491,60.77519451951188,63.7394315215013
436196526,65.8262680005084,63.55205702474094
436196533,66.57256558007676,65.4240003144759
436196535,65.52412134854326,64.86416986873908
436196610,66.15259878676954,65.38731160182282
436196620,65.46195572131882,65.10592227889272
436196712,66.03555377791237,65.51031706254477
436196714,65.4250594139045,65.27986608620027
436196839,65.76766798283353,65.61743500037778
436196841,65.38707792097607,65.47821443897442
436197015,65.07857518241873,66.77820690468374
436197058,65.268482647105,66.85486010790284
436197709,64.66232902515367,68.27654772317013
436202664,63.903319272422934,67.04944131607684
436202853,64.10500875125003,66.41737996730888
436205061,61.82735938708752,51.26101070851779
437207203,66.72790213486957,64.65353734878136
437207220,65.69108489096227,64.16577401718381
437207626,66.41784913129834,63.795774901643476
437207735,66.58775817725254,63.86538518234662
438048413,63.70938111870935,50.475315375519195
438048414,63.246627010895374,50.643198993682326
438048436,63.90455948445166,49.996232855396954
438048439,64.21740296504349,50.19392605258909
438048678,63.9337044667745,49.58954502720645
438048699,63.68209645438556,49.77642815727668
438049076,62.21291029701588,47.70957608158106
438049080,62.005174784625794,47.67190463555352
438049139,62.17539388358719,45.404247373644715
438049140,61.994167902991926,45.38983395081744
438049283,62.25926322105016,44.83278791631212
438049322,60.66528072973182,42.15074474810904
438049323,60.05416625973162,41.937819183609946
438049325,59.74752383919536,41.74192766427195
438049326,59.53017668371475,41.40026402770186
438049332,61.370961365843726,40.867294960870666
438049385,62.908204157508266,44.425444932536706
438051741,65.79371243515061,40.21885472252652
438051743,65.54349966126097,40.62210298390643
438051749,64.60419408697855,42.14173635884127
438051763,63.31607888368952,43.69904117980366
438051764,62.41583998784967,44.540260948470575
438056110,62.615049042641324,45.08993648266749
438056114,62.421886021412654,44.87684712927362
438056301,63.07625288541937,43.88985524337461
438057131,62.811157567383155,44.38285981963689
438060248,63.76953140139812,38.980938248311325
438060249,64.01943412225855,38.365583366912
438060714,63.04989838011714,38.86104477660751
