y,x,street_count,highway,railway,junction,geometry
14.1637669,121.2416511,4,,,,POINT (121.2416511 14.1637669)
14.164921,121.2409568,3,,,,POINT (121.2409568 14.164921)
14.1642866,121.2412165,4,,,,POINT (121.2412165 14.1642866)
14.1637227,121.2420156,3,,,,POINT (121.2420156 14.1637227)
14.1641597,121.2411901,4,,,,POINT (121.2411901 14.1641597)
14.1649092,121.2417607,4,,,,POINT (121.2417607 14.1649092)
14.1647509,121.241659,4,,,,POINT (121.241659 14.1647509)
14.1634822,121.2401006,5,crossing,,,POINT (121.2401006 14.1634822)
14.1636942,121.2405321,3,,,,POINT (121.2405321 14.1636942)
14.1635917,121.2399844,3,,,,POINT (121.2399844 14.1635917)
14.1619014,121.2407719,3,crossing,,,POINT (121.2407719 14.1619014)
14.1625648,121.240462,3,,,,POINT (121.240462 14.1625648)
14.1639068,121.2398402,3,,,,POINT (121.2398402 14.1639068)
14.163726,121.2407564,3,,,,POINT (121.2407564 14.163726)
14.1608608,121.2412966,3,,,,POINT (121.2412966 14.1608608)
14.1620524,121.2407148,3,,,,POINT (121.2407148 14.1620524)
14.1725172,121.2423837,3,,,,POINT (121.2423837 14.1725172)
14.163651,121.2425963,3,,,,POINT (121.2425963 14.163651)
14.1660296,121.2434718,4,crossing,,,POINT (121.2434718 14.1660296)
14.1661679,121.2438192,3,,,,POINT (121.2438192 14.1661679)
14.1662483,121.2440181,3,,,,POINT (121.2440181 14.1662483)
14.1647193,121.2447094,4,,,,POINT (121.2447094 14.1647193)
14.1672184,121.2435852,3,crossing,,,POINT (121.2435852 14.1672184)
14.1642169,121.2436108,3,,,,POINT (121.2436108 14.1642169)
14.1654504,121.2444107,3,,,,POINT (121.2444107 14.1654504)
14.1653017,121.2407864,4,,,,POINT (121.2407864 14.1653017)
14.166014,121.2409469,3,,,,POINT (121.2409469 14.166014)
14.1653456,121.2398238,3,,,,POINT (121.2398238 14.1653456)
14.1654236,121.2398892,3,,,,POINT (121.2398892 14.1654236)
14.1654534,121.2398877,4,,,,POINT (121.2398877 14.1654534)
14.1655919,121.2397061,3,,,,POINT (121.2397061 14.1655919)
14.1656563,121.2395635,3,,,,POINT (121.2395635 14.1656563)
14.1656676,121.2394945,3,,,,POINT (121.2394945 14.1656676)
14.1654981,121.2393907,4,,,,POINT (121.2393907 14.1654981)
14.1655266,121.2443739,3,,,,POINT (121.2443739 14.1655266)
14.165479,121.2441734,3,,,,POINT (121.2441734 14.165479)
14.1787287,121.2407948,3,,,,POINT (121.2407948 14.1787287)
14.1790236,121.2392837,3,,,,POINT (121.2392837 14.1790236)
14.1789544,121.239288,3,,,,POINT (121.239288 14.1789544)
14.1789994,121.2389376,3,,,,POINT (121.2389376 14.1789994)
14.1798286,121.2244372,4,,,,POINT (121.2244372 14.1798286)
14.1795957,121.2245276,3,,,,POINT (121.2245276 14.1795957)
14.1806122,121.224094,4,,,,POINT (121.224094 14.1806122)
14.180806,121.2246256,4,,,,POINT (121.2246256 14.180806)
14.1812149,121.2244834,4,,,,POINT (121.2244834 14.1812149)
14.1816422,121.2242811,4,,,,POINT (121.2242811 14.1816422)
14.1809309,121.2239292,4,,,,POINT (121.2239292 14.1809309)
14.1818318,121.224817,3,,,,POINT (121.224817 14.1818318)
